"names","id","values","type","exposure","strain","order","fixed","steps","lower_bound","upper_bound"
"lower_bound","all",0,"all",NA,NA,NA,1,0.1,-1000,0
"S","all",1.60597490916888,"all",NA,NA,NA,0,0.1,0,10
"EA","all",0.2,"all",NA,NA,NA,1,0.1,0,1
"MAX_TITRE","all",12,"all",NA,NA,NA,1,0.1,0,100
"mu","all",3.34281756796376,"vacc","all","all",NA,0,0.1,0,15
"tp","all",12,"vacc","all","all",NA,1,0.1,0,17
"dp","all",0,"vacc","all","all",NA,1,0.1,0,1
"ts","all",0,"vacc","all","all",NA,1,0.1,0,30
"m","all",0.215209277081401,"vacc","all","all",NA,0,0.1,0,10
"mu","all",7.87885959535755,"infection","all","all",NA,0,0.1,0,15
"tp","all",12,"infection","all","all",NA,1,0.1,0,17
"dp","all",0,"infection","all","all",NA,1,0.1,0,1
"ts","all",0,"infection","all","all",NA,1,0.1,0,30
"m","all",0.101335174252618,"infection","all","all",NA,0,0.1,0,10
"mu","all",5.80177261170439,"adj","all","all",NA,0,0.1,0,15
"tp","all",12,"adj","all","all",NA,1,0.1,0,17
"dp","all",0,"adj","all","all",NA,1,0.1,0,1
"ts","all",0,"adj","all","all",NA,1,0.1,0,30
"m","all",0.116603319756965,"adj","all","all",NA,0,0.1,0,10
"beta","all",0.428107682918954,"all",NA,NA,NA,0,0.1,0,100
"c","all",5.88612845538786,"all",NA,NA,NA,0,0.1,0,20
"sigma","all",2.1426836552611,"all",NA,NA,NA,0,0.1,0,100
"y0_mod","all",0.0886901413186177,"all",NA,NA,NA,0,0.1,0,1
"boost_limit","all",9.81441093008252,"all",NA,NA,NA,0,0.1,0,12
"tau","all",0.10775857657223,"all",NA,NA,NA,0,0.1,0,1
"x",NA,0,"all","A","A",NA,1,0.1,0,10000
"x",NA,6.226721038,"all","A","B",NA,1,0.1,0,13
"x",NA,6.1271143591,"all","A","C",NA,1,0.1,0,13
"x",NA,1000,"all","A","D",NA,1,0.1,0,10000
"x",NA,1000,"all","A","E",NA,1,0.1,0,10000
"x",NA,0,"all","B","B",NA,1,0.1,0,10000
"x",NA,0.6959541652,"all","B","C",NA,1,0.1,0,13
"x",NA,1000,"all","B","D",NA,1,0.1,0,10000
"x",NA,1000,"all","B","E",NA,1,0.1,0,10000
"x",NA,0,"all","C","C",NA,1,0.1,0,10000
"x",NA,1000,"all","C","D",NA,1,0.1,0,10000
"x",NA,1000,"all","C","E",NA,1,0.1,0,10000
"x",NA,0,"all","D","D",NA,1,0.1,0,10000
"x",NA,1.5495453075,"all","D","E",NA,1,0.1,0,13
"x",NA,0,"all","E","E",NA,1,0.1,0,10000
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
"mod",NA,1,"all",NA,NA,NA,1,0.1,0,1
